time,price,size
1725261627492,188610,1
1725261628689,188600,1
1725261629280,188590,1
1725261632447,188600,1
1725261633784,188610,1
1725261634447,188600,1
1725261636355,188590,1
1725261637017,188610,1
1725261638453,188640,1
1725261639291,188660,5
1725261639291,188660,5
1725261639956,188660,1
1725261642710,188700,1
1725261645463,188750,1
1725261646305,188720,1
1725261646464,188710,1
1725261646722,188730,1
1725261647304,188720,1
1725261647466,188730,1
1725261647716,188720,1
1725261647966,188710,1
1725261648373,188700,1
1725261648467,188710,1
1725261648716,188700,1
1725261650720,188690,1
1725261650972,188710,1
1725261652314,188700,1
1725261655315,188720,1
1725261655548,188740,2
1725261655548,188740,2
1725261656482,188730,1
1725261656482,188730,1
1725261657479,188740,1
1725261659322,188720,1
1725261661323,188710,1
1725261661485,188700,2
1725261661485,188700,2
1725261662987,188660,2
1725261663828,188670,1
1725261663828,188670,1
1725261669497,188690,2
1725261669497,188690,2
1725261669998,188680,1
1725261669998,188680,1
1725261675516,188640,2
1725261675516,188640,2
1725261676505,188630,1
1725261676505,188630,1
1725261677359,188610,1
1725261677758,188640,1
1725261678258,188620,1
1725261679345,188650,1
1725261680012,188660,2
1725261680012,188660,2
1725261681761,188650,1
1725261681761,188650,1
1725261685039,188660,1
1725261686361,188650,1
1725261689023,188660,1
1725261693526,188630,1
1725261694528,188640,1
1725261699534,188660,1
1725261706794,188650,3
1725261706794,188650,3
1725261711799,188700,8
1725261711799,188700,8
1725261712583,188700,1
1725261714803,188700,2
1725261715055,188690,2
1725261720061,188720,1
1725261720061,188720,1
1725261725404,188700,1
1725261726066,188720,1
1725261726408,188740,5
1725261726408,188740,5
1725261727408,188740,1
1725261728818,188750,3
1725261728818,188750,3
1725261729069,188740,1
1725261729069,188740,1
1725261730095,188750,1
1725261731571,188760,2
1725261731571,188760,2
1725261731823,188750,1
1725261731823,188750,1
1725261734075,188780,2
1725261734075,188780,2
1725261734826,188770,1
1725261734826,188770,1
1725261739499,188760,1
1725261742585,188770,1
1725261744175,188780,1
1725261745087,188770,1
1725261746886,188780,2
1725261746886,188780,2
1725261747605,188790,1
1725261747605,188790,1
1725261754100,188790,2
1725261755181,188800,1
1725261755181,188800,1
1725261756500,188780,1
1725261756603,188770,1
1725261757524,188750,1
1725261757610,188740,2
1725261757610,188740,2
1725261757852,188760,1
1725261757852,188760,1
1725261758103,188770,2
1725261758103,188770,2
1725261762147,188730,1
1725261762147,188730,1
1725261764113,188740,1
1725261765113,188730,1
1725261765616,188710,2
1725261765616,188710,2
1725261766615,188730,1
1725261766615,188730,1
1725261767115,188710,1
1725261767460,188720,1
1725261768869,188700,2
1725261768869,188700,2
1725261770620,188690,2
1725261772691,188710,1
1725261772691,188710,1
1725261773502,188690,1
1725261777198,188680,1
1725261777880,188670,1
1725261780688,188690,1
1725261781475,188710,2
1725261781475,188710,2
1725261781886,188720,2
1725261783742,188710,1
1725261783742,188710,1
1725261784255,188720,1
1725261790395,188760,4
1725261790395,188760,4
1725261791238,188760,1
1725261791897,188770,1
1725261792430,188780,1
1725261799307,188760,3
1725261799307,188760,3
1725261800442,188770,1
1725261800442,188770,1
1725261804251,188760,1
1725261808916,188760,2
1725261809259,188790,1
1725261809259,188790,1
1725261811591,188800,2
1725261811591,188800,2
1725261811682,188780,1
1725261811682,188780,1
1725261823997,188800,1
1725261827439,188820,1
1725261828439,188800,1
1725261830281,188810,1
1725261832282,188800,1
1725261832944,188800,2
1725261835450,188810,1
1725261835450,188810,1
1725261840705,188800,1
1725261841706,188780,1
1725261842460,188780,2
1725261844710,188760,1
1725261844710,188760,1
1725261846715,188770,2
1725261846715,188770,2
1725261846966,188720,1
1725261846966,188720,1
1725261852562,188730,1
1725261854352,188720,1
1725261858978,188730,1
1725261860988,188740,1
1725261862983,188740,2
1725261870743,188740,1
1725261871490,188720,1
1725261876014,188710,1
1725261877337,188700,1
1725261878747,188730,1
1725261879341,188740,1
1725261893516,188730,2
1725261893516,188730,2
1725261896021,188710,2
1725261900527,188730,2
1725261900792,188710,2
1725261901029,188690,1
1725261901029,188690,1
1725261901526,188680,2
1725261901526,188680,2
1725261902419,188690,1
1725261902419,188690,1
1725261904034,188740,1
1725261905609,188730,1
1725261910036,188740,1
1725261911354,188770,2
1725261911354,188770,2
1725261916550,188760,2
1725261919797,188780,2
1725261920799,188760,1
1725261920799,188760,1
1725261923553,188780,2
1725261923553,188780,2
1725261924182,188800,1
1725261924182,188800,1
1725261924392,188780,1
1725261924802,188770,2
1725261924803,188770,2
1725261926556,188720,1
1725261926556,188720,1
1725261932062,188730,1
1725261942329,188720,2
1725261942329,188720,2
1725261942825,188700,1
1725261942825,188700,1
1725261948612,188670,2
1725261948612,188670,2
1725261953426,188680,1
1725261953426,188680,1
1725261955092,188660,6
1725261955092,188660,6
1725261955882,188660,1
1725261960440,188640,1
1725261960850,188630,1
1725261961603,188630,2
1725261962853,188620,2
1725261964103,188610,1
1725261964103,188610,1
1725261965106,188600,3
1725261965106,188600,3
1725261965495,188650,1
1725261965495,188650,1
1725261965857,188630,4
1725261965857,188630,4
1725261966635,188630,1
1725261971113,188640,1
1725261974458,188640,3
1725261978624,188680,1
1725261978624,188680,1
1725261978922,188670,1
1725261980468,188660,1
1725261980876,188670,1
1725261981127,188660,1
1725261982918,188660,3
1725261984657,188650,1
1725261984657,188650,1
1725261985223,188660,1
1725261989231,188690,1
1725261991391,188680,2
1725261991391,188680,2
1725261993231,188690,1
1725261993231,188690,1
1725261999651,188680,1
1725262001242,188680,2
1725262003405,188690,1
1725262003405,188690,1
1725262011414,188680,1
1725262011663,188690,1
1725262017940,188700,4
1725262017940,188700,4
1725262021932,188680,1
1725262021932,188680,1
1725262026187,188690,3
1725262026187,188690,3
1725262032943,188670,1
1725262032943,188670,1
1725262038009,188660,1
1725262038449,188670,1
1725262051728,188630,1
1725262058363,188610,1
1725262058975,188610,2
1725262059317,188620,1
1725262059317,188620,1
1725262069485,188600,1
1725262069737,188610,1
1725262084341,188610,2
1725262085521,188600,1
